Timestamp,Condition
02-05-2023 20:21:01,sleep
02-05-2023 20:21:16,sleep
02-05-2023 20:31:35,sleep
02-05-2023 20:31:46,sleep
02-05-2023 21:08:37,Yawn
02-05-2023 21:11:00,Yawn
02-05-2023 21:15:38,Yawn
02-05-2023 21:16:22,sleep
02-05-2023 21:17:51,Yawn
02-05-2023 21:20:00,Yawn
02-05-2023 21:21:59,sleep
02-05-2023 21:58:28,Yawn
02-05-2023 21:58:38,sleep
02-05-2023 21:58:43,sleep
02-05-2023 21:59:23,Yawn
02-05-2023 21:59:37,sleep
02-05-2023 22:03:12,Yawn
02-05-2023 22:03:28,sleep
02-05-2023 22:05:48,Yawn
02-05-2023 22:06:07,sleep
02-05-2023 22:08:03,Yawn
02-05-2023 22:09:13,Yawn
02-05-2023 22:09:27,sleep
03-05-2023 13:51:17,Yawn
03-05-2023 13:51:27,sleep
03-05-2023 13:51:28,Yawn
03-05-2023 13:51:41,Yawn
03-05-2023 15:31:24,Yawn
03-05-2023 15:31:39,sleep
03-05-2023 15:32:36,Yawn
03-05-2023 15:32:45,sleep
03-05-2023 15:35:34,Yawn
03-05-2023 15:35:46,sleep
03-05-2023 15:35:51,sleep
03-05-2023 15:40:45,Yawn
03-05-2023 15:40:54,sleep
03-05-2023 16:22:25,Yawn
03-05-2023 16:22:27,Yawn
03-05-2023 16:22:41,Yawn
03-05-2023 16:22:42,Yawn
03-05-2023 16:22:44,Yawn
03-05-2023 16:22:46,Yawn
03-05-2023 16:22:57,Yawn
03-05-2023 16:23:25,Yawn
03-05-2023 16:24:32,Yawn
03-05-2023 16:25:42,Yawn
03-05-2023 16:25:48,Yawn
13-07-2024 23:42:55,sleep
13-07-2024 23:42:56,Yawn
13-07-2024 23:43:07,sleep
13-07-2024 23:43:15,sleep
13-07-2024 23:43:18,Yawn
13-07-2024 23:43:31,sleep
13-07-2024 23:44:03,sleep
